id,u,v
935,3006,1737.6
936,3306,2020.8
937,4455.6,558
938,754.8,1148.4
939,3301.2,129.6
940,1341.6,1719.6
941,669.6,1148.4
942,1212,1675.2
943,3469.2,788.4
944,3774,648
945,3006,1719.6
946,3782.4,648
947,3841.2,648
948,3877.2,648
949,3937.2,648
950,1945.2,3086.4
951,55.2,1255.2
952,3907.2,649.2
953,3958.8,649.2
954,1218,1720.8
955,1149.6,1747.2
956,2688,1315.2
957,3924,650.4
958,1185.6,1747.2
959,1904.4,3130.8
960,1161.6,651.6
961,1287.6,1720.8
962,1228.8,1671.6
963,3907.2,662.4
964,1210.8,1741.2
965,1884,3093.6
966,1836,776.4
967,771.6,775.2
968,730.8,373.2
969,3746.4,1540.8
970,1551.6,1317.6
971,3801.6,651.6
972,3724.8,1410
973,3852,651.6
974,1916.4,1987.2
975,4095.6,1270.8
976,3183.6,123.6
977,2984.4,1737.6
978,3310.8,2026.8
979,4003.2,603.6
980,3283.2,121.2
981,4401.6,622.8
982,3750,654
983,4378.8,622.8
984,3980.4,662.4
985,3046.8,1839.6
986,912,1684.8
987,3772.8,693.6
988,753.6,1146
989,3956.4,622.8
990,3958.8,654
991,633.6,1146
992,3192,975.6
993,3732,1401.6
994,1056,663.6
995,3930,622.8
996,549.6,758.4
997,1362,1652.4
998,3774,655.2
999,4420.8,606
1000,3877.2,655.2
1001,768,753.6
1002,3902.4,655.2
1003,3411.6,750
1004,3733.2,1284
1005,805.2,1144.8
1006,2917.2,1747.2
1007,1254,1740
1008,3418.8,748.8
1009,768,748.8
1010,694.8,1144.8
1011,1335.6,1722
1012,723.6,958.8
1013,3258,691.2
1014,764.4,747.6
1015,1866,2031.6
1016,3952.8,657.6
1017,4023.6,657.6
1018,627.6,1144.8
1019,1246.8,1737.6
1020,3418.8,744
1021,3726,1504.8
1022,1162.8,658.8
1023,751.2,739.2
1024,195.6,1144.8
1025,3874.8,2109.6
1026,4105.2,1143.6
1027,3774,690
1028,3828,1623.6
1029,3223.2,986.4
1030,3852,658.8
1031,3686.4,1539.6
1032,3938.4,658.8
1033,4208.4,688.8
1034,2439.6,2074.8
1035,1168.8,1748.4
1036,4015.2,658.8
1037,1884,2049.6
1038,3808.8,1538.4
1039,4113.6,974.4
1040,230.4,1328.4
1041,3944.4,621.6
1042,4422,586.8
1043,3889.2,621.6
1044,2672.4,1560
1045,346.8,1328.4
1046,1142.4,1750.8
1047,94.8,979.2
1048,3717.6,1480.8
1049,736.8,1142.4
1050,2425.2,2073.6
1051,3859.2,668.4
1052,1262.4,1723.2
1053,3866.4,668.4
1054,2408.4,2073.6
1055,562.8,1113.6
1056,1167.6,1732.8
1057,3811.2,687.6
1058,3717.6,1455.6
1059,3722.4,1455.6
1060,3721.2,1479.6
1061,3739.2,1516.8
1062,3874.8,668.4
1063,2983.2,1741.2
1064,3955.2,668.4
1065,3699.6,1466.4
1066,4411.2,585.6
1067,3940.8,612
1068,2985.6,1741.2
1069,3768,1531.2
1070,4219.2,979.2
1071,3802.8,686.4
1072,799.2,1141.2
1073,3012,1770
1074,724.8,1141.2
1075,1122,973.2
1076,3970.8,612
1077,1874.4,2053.2
1078,3775.2,1530
1079,3961.2,609.6
1080,3852,669.6
1081,1400.4,208.8
1082,1107.6,1752
1083,4024.8,620.4
1084,3992.4,620.4
1085,4435.2,584.4
1086,3898.8,663.6
1087,1369.2,584.4
1088,502.8,1120.8
1089,4208.4,685.2
1090,1124.4,1735.2
1091,3973.2,663.6
1092,4460.4,538.8
1093,1192.8,1731.6
1094,4443.6,567.6
1095,3816,685.2
1096,1131.6,1731.6
1097,3838.8,670.8
1098,3944.4,613.2
1099,3956.4,613.2
1100,4003.2,663.6
1101,3846,670.8
1102,1639.2,1083.6
1103,4173.6,975.6
1104,3991.2,607.2
1105,3882,666
1106,3960,670.8
1107,3919.2,633.6
1108,3824.4,684
1109,1207.2,1657.2
1110,1034.4,1725.6
1111,3662.4,1519.2
1112,1185.6,1735.2
1113,4311.6,582
1114,4425.6,613.2
1115,3799.2,672
1116,3926.4,672
1117,590.4,1138.8
1118,580.8,1137.6
1119,3933.6,672
1120,1239.6,1725.6
1121,1208.4,1735.2
1122,1077.6,1660.8
1123,4400.4,619.2
1124,692.4,1107.6
1125,2463.6,2056.8
1126,1099.2,1756.8
1127,3820.8,1483.2
1128,2971.2,1069.2
1129,1179.6,1675.2
1130,1212,1735.2
1131,1280.4,1725.6
1132,3793.2,673.2
1133,3808.8,673.2
1134,1326,1651.2
1135,3813.6,673.2
1136,1130.4,1753.2
1137,3970.8,619.2
1138,3796.8,1520.4
1139,4483.2,590.4
1140,3843.6,681.6
1141,3802.8,681.6
1142,3918,614.4
1143,1179.6,1736.4
1144,1551.6,1128
1145,1310.4,1729.2
1146,2526,2060.4
1147,2875.2,1971.6
1148,1210.8,1693.2
1149,3310.8,75.6
1150,3008.4,1752
1151,1238.4,730.8
1152,1208.4,639.6
1153,2887.2,1518
1154,1950,2412
1155,1532.4,1159.2
1156,1285.2,810
1157,4422,592.8
1158,1123.2,2096.4
1159,2469.6,2252.4
1160,2484,2300.4
1161,3687.6,667.2
1162,1972.8,2022
1163,3735.6,655.2
1164,4466.4,547.2
1165,1203.6,1706.4
1166,1970.4,1996.8
1167,3010.8,1753.2
1168,2594.4,1602
1169,3236.4,2121.6
1170,1131.6,1690.8
1171,4444.8,559.2
1172,2706,1869.6
1173,4449.6,606
1174,3282,124.8
1175,3757.2,1479.6
1176,3703.2,648
1177,711.6,957.6
1178,1324.8,1734
1179,2451.6,1132.8
1180,3007.2,1741.2
1181,740.4,1166.4
1182,2480.4,2301.6
1183,3531.6,649.2
1184,4166.4,1147.2
1185,110.4,1335.6
1186,2858.4,1670.4
1187,2829.6,1897.2
1188,759.6,823.2
1189,1194,1747.2
1190,687.6,1144.8
1191,734.4,392.4
1192,765.6,817.2
1193,4447.2,607.2
1194,2932.8,1501.2
1195,407.52,1172.16
1196,3944.16,629.28
1197,2983.68,1740.96
1198,3939.84,612
1199,1130.4,1730.88
